"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_BACKGROUND_LOCATION","dangerous","access location in background","Allows an app to access location in the background.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Lf/e.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/C.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/h0.java"
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Lf/e.java                                                                                                                                                                                                    M0/a.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/C.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/h0.java                                                                                                                                                                                                    dc/c.java                                                                                                                                                                                                    nc/i.java                                                                                                                                                                                                    sc/ViewOnClickListenerC3386d.java                                                                                                                                                                                                    xd/k.java                                                                                                                                                                                                    xf/h.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Lf/e.java                                                                                                                                                                                                    M0/a.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/C.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/h0.java                                                                                                                                                                                                    xd/k.java                                                                                                                                                                                                    xf/h.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        C/a.java                                                                                                                                                                                                    H2/r.java                                                                                                                                                                                                    H5/i.java                                                                                                                                                                                                    I5/n.java                                                                                                                                                                                                    K0/f.java                                                                                                                                                                                                    K0/g.java                                                                                                                                                                                                    M0/a.java                                                                                                                                                                                                    O1/P.java                                                                                                                                                                                                    Z0/u0.java                                                                                                                                                                                                    com/adjust/sdk/DeviceInfo.java                                                                                                                                                                                                    com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                                                                                    com/honda/common/utils/J.java                                                                                                                                                                                                    com/uievolution/microserver/modules/d.java                                                                                                                                                                                                    q1/r.java                                                                                                                                                                                                    s0/k.java                                                                                                                                                                                                    t0/AbstractC3469m.java                                                                                                                                                                                                    t0/AbstractC3470n.java                                                                                                                                                                                                    t0/AbstractC3472p.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            I5/n.java                                                                                                                                                                                                    K0/g.java                                                                                                                                                                                                    com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                                                                                    com/honda/common/utils/J.java                                                                                                                                                                                                    q1/r.java                                                                                                                                                                                                    t0/AbstractC3469m.java                                                                                                                                                                                                    t0/AbstractC3472p.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        H2/r.java                                                                                                                                                                                                    I5/n.java                                                                                                                                                                                                    Q5/j.java                                                                                                                                                                                                    Z0/u0.java                                                                                                                                                                                                    com/adjust/sdk/DeviceInfo.java                                                                                                                                                                                                    com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                                                                                    com/honda/common/module/microserver/braodcastreciever/BluetoothConnectionReceiver.java                                                                                                                                                                                                    com/honda/common/utils/J.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/a.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/b.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/c.java                                                                                                                                                                                                    com/uievolution/microserver/modules/d.java                                                                                                                                                                                                    q1/r.java                                                                                                                                                                                                    s0/k.java"
"android.permission.BLUETOOTH_ADMIN","normal","bluetooth administration","Allows applications to discover and pair bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/honda/common/utils/J.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/a.java"
"android.permission.BLUETOOTH_CONNECT","dangerous","necessary for connecting to paired Bluetooth devices.","Required to be able to connect to paired Bluetooth devices.",""
"android.permission.CALL_PHONE","dangerous","directly call phone numbers","Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Y2/F.java                                                                                                                                                                                                    com/honda/common/app/HondaApplication.java"
"android.permission.CAMERA","dangerous","take pictures and videos","Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                B6/a.java"
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                C5/b.java                                                                                                                                                                                                    Ii/b.java                                                                                                                                                                                                    X5/p.java                                                                                                                                                                                                    X5/s.java                                                                                                                                                                                                    com/honda/common/cigremotecommand/pollingmanager/StartEngineService.java                                                                                                                                                                                                    com/honda/common/cigremotecommand/service/CommandProgressService.java                                                                                                                                                                                                    com/honda/common/module/gdo/receivers/BootReceiver.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/uievolution/microserver/MSServiceHelper.java                                                                                                                                                                                                    com/uievolution/microserver/MicroServerService.java"
"android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE","normal","enables foreground services with connected device use.","Allows a regular application to use Service.startForeground with the type ""connectedDevice"".",""
"android.permission.FOREGROUND_SERVICE_LOCATION","normal","allows foreground services with location use.","Allows a regular application to use Service.startForeground with the type ""location"".",""
"android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING","normal","allows foreground services for remote messaging.","Allows a regular application to use Service.startForeground with the type ""remoteMessaging"".",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        A1/g.java                                                                                                                                                                                                    F5/g.java                                                                                                                                                                                                    G1/k.java                                                                                                                                                                                                    K0/g.java                                                                                                                                                                                                    O1/P.java                                                                                                                                                                                                    O2/a.java                                                                                                                                                                                                    X1/c.java                                                                                                                                                                                                    Z0/A.java                                                                                                                                                                                                    Z0/AbstractC0872s.java                                                                                                                                                                                                    Z0/B0.java                                                                                                                                                                                                    Z0/C0856i0.java                                                                                                                                                                                                    Z0/C0875v.java                                                                                                                                                                                                    Z0/C0878y.java                                                                                                                                                                                                    Z4/c.java                                                                                                                                                                                                    com/adjust/sdk/AdjustLinkResolution.java                                                                                                                                                                                                    com/adjust/sdk/network/ActivityPackageSender.java                                                                                                                                                                                                    com/adjust/sdk/network/UtilNetworking.java                                                                                                                                                                                                    com/amazonaws/DefaultRequest.java                                                                                                                                                                                                    com/amazonaws/Request.java                                                                                                                                                                                                    com/amazonaws/auth/AWS3Signer.java                                                                                                                                                                                                    com/amazonaws/auth/AWS4Signer.java                                                                                                                                                                                                    com/amazonaws/http/AmazonHttpClient.java                                                                                                                                                                                                    com/amazonaws/http/HttpRequest.java                                                                                                                                                                                                    com/amazonaws/http/UrlHttpClient.java                                                                                                                                                                                                    com/amazonaws/mobile/client/internal/oauth2/HTTPUtil.java                                                                                                                                                                                                    com/amazonaws/mobileconnectors/iot/AWSIotMqttManager.java                                                                                                                                                                                                    com/amazonaws/mobileconnectors/iot/AWSIotProxiedSSLSocket.java                                                                                                                                                                                                    com/amazonaws/util/ClassLoaderHelper.java                                                                                                                                                                                                    com/amazonaws/util/HttpUtils.java                                                                                                                                                                                                    com/amazonaws/util/XpathUtils.java                                                                                                                                                                                                    com/amplitude/core/utilities/http/e.java                                                                                                                                                                                                    com/appdynamics/eumagent/runtime/CollectorChannel.java                                                                                                                                                                                                    com/appdynamics/eumagent/runtime/HttpRequestTracker.java                                                                                                                                                                                                    com/appdynamics/eumagent/runtime/c.java                                                                                                                                                                                                    com/att/iot/retail/sdk/core/network/RetrofitFactory.java                                                                                                                                                                                                    com/att/iot/retail/sdk/core/util/MySSLSocketFactory.java                                                                                                                                                                                                    com/bumptech/glide/load/data/j.java                                                                                                                                                                                                    com/qualtrics/digital/LatencyReportingService.java                                                                                                                                                                                                    com/qualtrics/digital/SiteInterceptService.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/h.java                                                                                                                                                                                                    com/uievolution/microserver/modules/HttpProxyModule.java                                                                                                                                                                                                    com/uievolution/microserver/modules/HttpsTunnelingModule.java                                                                                                                                                                                                    com/uievolution/microserver/modules/WsTunnelingModule.java                                                                                                                                                                                                    com/uievolution/microserver/modules/c.java                                                                                                                                                                                                    com/uievolution/microserver/modules/canaria/voicenavi/g.java                                                                                                                                                                                                    com/uievolution/microserver/utils/Utils.java                                                                                                                                                                                                    ij/d.java                                                                                                                                                                                                    jl/C2890k.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java                                                                                                                                                                                                    org/conscrypt/AbstractConscryptSocket.java                                                                                                                                                                                                    org/conscrypt/ConscryptEngineSocket.java                                                                                                                                                                                                    org/conscrypt/ConscryptFileDescriptorSocket.java                                                                                                                                                                                                    org/conscrypt/KitKatPlatformOpenSSLSocketImplAdapter.java                                                                                                                                                                                                    org/conscrypt/OpenSSLSocketImpl.java                                                                                                                                                                                                    org/conscrypt/PreKitKatPlatformOpenSSLSocketImplAdapter.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/MqttConnectOptions.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/SSLNetworkModule.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/TCPNetworkModule.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/TCPNetworkModuleFactory.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketNetworkModuleFactory.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketReceiver.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketSecureNetworkModule.java                                                                                                                                                                                                    u4/C3546a.java                                                                                                                                                                                                    wg/e.java                                                                                                                                                                                                    x1/x.java"
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Q5/j.java                                                                                                                                                                                                    c6/B.java                                                                                                                                                                                                    com/honda/common/cigremotecommand/pollingmanager/StartEngineService.java                                                                                                                                                                                                    com/honda/common/cigremotecommand/service/CommandProgressService.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/qualtrics/digital/QualtricsNotificationManager.java                                                                                                                                                                                                    vd/C3602a.java"
