"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config]","info","The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.","Suppression the rule has_network_security in com.gm.buick.nomad.ownership"
"2","Service (com.gm.gemini.android_auto.GeminiCarActivityService) is not Protected. [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership"
"3","App Link assetlinks.json file not found[android:name=com.gm.gemini.SplashActivity][android:host=https://my.buick.com]","high","App Link asset verification URL (https://my.buick.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.gm.buick.nomad.ownership"
"4","App Link assetlinks.json file not found[android:name=com.gm.gemini.SplashActivity][android:host=https://my.gm.com.mx]","high","App Link asset verification URL (https://my.gm.com.mx/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.gm.buick.nomad.ownership"
"5","App Link assetlinks.json file not found[android:name=com.gm.gemini.SplashActivity][android:host=https://my.gm.ca]","high","App Link asset verification URL (https://my.gm.ca/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.gm.buick.nomad.ownership"
"6","Activity (com.gm.gemini.MainActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership"
"7","Broadcast Receiver (com.gm.gemini.VendorChannelConnectReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.gm.buick.nomad.ownership"
"8","Broadcast Receiver (com.gm.gemini.LocaleBackgroundReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.gm.buick.nomad.ownership"
"9","Activity (com.microsoft.identity.client.BrowserTabActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership"
"10","Broadcast Receiver (com.learnium.RNDeviceInfo.RNDeviceReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.INSTALL_PACKAGES [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.gm.buick.nomad.ownership"
"11","Activity (androidx.biometric.DeviceCredentialHandlerActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership"
"12","Activity (com.microsoft.identity.client.CurrentTaskBrowserTabActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership"
"13","Activity (com.facebook.CustomTabActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership"
"14","Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.gm.buick.nomad.ownership"
"15","High Intent Priority (10000) - {1} Hit(s)[android:priority]","warning","By setting an intent priority higher than another intent, the app effectively overrides other requests.","Suppression the rule high_intent_priority_found in com.gm.buick.nomad.ownership"
