"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_ADSERVICES_AD_ID","normal","allow app to access the device's advertising ID.","This ID is a unique, user-resettable identifier provided by Google's advertising services, allowing apps to track user behavior for advertising purposes while maintaining user privacy.",""
"android.permission.ACCESS_ADSERVICES_ATTRIBUTION","normal","allow applications to access advertising service attribution","This enables the app to retrieve information related to advertising attribution, which can be used for targeted advertising purposes. App can gather data about how users interact with ads, such as clicks or impressions, to measure the effectiveness of advertising campaigns.",""
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    K1/d.java                                                                                                                                                                                                    K1/g.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/tools/ab.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/tools/ak.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/analytics/AnalyticsCollector.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/scheduler/Requirements.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/scheduler/RequirementsWatcher.java                                                                                                                                                                                                    com/mbridge/msdk/tracker/y.java                                                                                                                                                                                                    com/mbridge/msdk/videocommon/download/NetStateOnReceive.java                                                                                                                                                                                                    j4/c.java                                                                                                                                                                                                    n4/a.java                                                                                                                                                                                                    s4/c.java                                                                                                                                                                                                    x0/AbstractC2857j.java                                                                                                                                                                                                    y/r.java                                                                                                                                                                                                    z2/L.java"
"android.permission.ACCESS_SUPERUSER","unknown","Unknown permission","Unknown permission from android reference",""
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                K1/d.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/tools/ak.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/scheduler/RequirementsWatcher.java                                                                                                                                                                                                    z2/L.java"
"android.permission.AUTHENTICATE_ACCOUNTS","dangerous","act as an account authenticator","Allows an application to use the account authenticator capabilities of the Account Manager, including creating accounts as well as obtaining and setting their passwords.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                O1/O0.java                                                                                                                                                                                                    com/uptodown/activities/LoginActivity.java                                                                                                                                                                                                    z2/C2994x.java"
"android.permission.DELETE_PACKAGES","SignatureOrSystem","delete applications","Allows an application to delete Android packages. Malicious applications can use this to delete important applications.",""
"android.permission.ENFORCE_UPDATE_OWNERSHIP","normal","indicates intent to become the update owner via PackageInstaller.","Allows an application to indicate via PackageInstaller.SessionParams.setRequestUpdateOwnership(boolean) that it has the intention of becoming the update owner.",""
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/mbridge/msdk/playercommon/exoplayer2/offline/DownloadService.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/scheduler/PlatformScheduler.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/util/Util.java                                                                                                                                                                                                    com/uptodown/UptodownApp.java                                                                                                                                                                                                    com/uptodown/activities/Updates.java                                                                                                                                                                                                    com/uptodown/core/service/SplitApksEventsService.java                                                                                                                                                                                                    com/uptodown/workers/DownloadApkWorker.java                                                                                                                                                                                                    com/uptodown/workers/GenerateQueueWorker.java                                                                                                                                                                                                    com/uptodown/workers/InstallUpdatesWorker.java                                                                                                                                                                                                    com/uptodown/workers/SendUserUsageStatsWorker.java                                                                                                                                                                                                    com/uptodown/workers/UploadFileWorker.java"
"android.permission.GET_ACCOUNTS","dangerous","list accounts","Allows access to the list of accounts in the Accounts Service.","Show Files                                                                                                                                                                                                                                                                                                                            com/uptodown/activities/g0.java                                                                                                                                                                                                    z2/C2994x.java"
