"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App can be installed on a vulnerable unpatched Android versionAndroid 6.0-6.0.1, [minSdk=23]","high","This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.","Suppression the rule vulnerable_os_version in com.uptodown"
"2","Application Data can be Backed up[android:allowBackup=true]","warning","This flag allows anyone to backup your application data via adb. It allows users who have enabled USB debugging to copy application data off of the device.","Suppression the rule app_allowbackup in com.uptodown"
"3","App Link assetlinks.json file not found[android:name=com.uptodown.activities.MainActivity][android:host=https://www.uptodown.com]","high","App Link asset verification URL (https://www.uptodown.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.uptodown"
"4","App Link assetlinks.json file not found[android:name=com.uptodown.activities.MainActivity][android:host=https://dw.uptodown.com]","high","App Link asset verification URL (https://dw.uptodown.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.uptodown"
"5","Activity (com.uptodown.tv.ui.activity.TvMainActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.uptodown"
"6","Activity (com.uptodown.core.activities.InstallerActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.uptodown"
"7","Activity (com.uptodown.activities.SearchActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.uptodown"
"8","Broadcast Receiver (com.uptodown.receivers.BootDeviceReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.uptodown"
"9","Broadcast Receiver (com.uptodown.receivers.MyAppUpdatedReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.uptodown"
"10","Broadcast Receiver (com.uptodown.receivers.DownloadNotificationReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.uptodown"
"11","Broadcast Receiver (com.uptodown.receivers.DownloadUpdateNotificationReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.uptodown"
