"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App can be installed on a vulnerable unpatched Android versionAndroid 6.0-6.0.1, [minSdk=23]","high","This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.","Suppression the rule vulnerable_os_version in com.honda.hondalink.connect"
"2","Clear text traffic is Enabled For App[android:usesCleartextTraffic=true]","high","The app intends to use cleartext network traffic, such as cleartext HTTP, FTP stacks, DownloadManager, and MediaPlayer. The default value for apps that target API level 27 or lower is ""true"". Apps that target API level 28 or higher default to ""false"". The key reason for avoiding cleartext traffic is the lack of confidentiality, authenticity, and protections against tampering; a network attacker can eavesdrop on transmitted data and also modify it without being detected.","Suppression the rule clear_text_traffic in com.honda.hondalink.connect"
"3","App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config]","info","The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.","Suppression the rule has_network_security in com.honda.hondalink.connect"
"4","Service (com.honda.common.module.gdo.services.GDOHondaCarService) is not Protected. [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule service_explicitly_exported in com.honda.hondalink.connect"
"5","Activity (com.honda.common.module.general.view.activity.GetStartedActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.honda.hondalink.connect"
"6","Broadcast Receiver (com.honda.common.module.microserver.braodcastreciever.BluetoothConnectionReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.honda.hondalink.connect"
"7","Broadcast Receiver (com.honda.common.module.microserver.braodcastreciever.BluetoothStateChangeReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.honda.hondalink.connect"
"8","Activity (com.honda.common.module.dtcu.enrollment.dealernew.view.activity.NewDealerEnrollmentWelcomeActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.honda.hondalink.connect"
"9","Broadcast Receiver (com.honda.common.module.gdo.receivers.BootReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.honda.hondalink.connect"
"10","Activity (com.facebook.CustomTabActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.honda.hondalink.connect"
"11","Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in com.honda.hondalink.connect"
"12","Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.honda.hondalink.connect"
"13","Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.honda.hondalink.connect"
"14","Broadcast Receiver (androidx.profileinstaller.ProfileInstallReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.honda.hondalink.connect"
