"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            a/a/a/b/b.java                                                                                                                                                                                                    a/a/b/o2x/utils/a/e.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/ah.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/BoundaryMapActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/BoundaryMapActivityV2.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/VehicleFinderMapActivity.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/PhoneUtils$getCallStateFlow$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/LocationRepository.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        a/a/a/b/b.java                                                                                                                                                                                                    a/a/b/o2x/utils/a/e.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/ah.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/BoundaryMapActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/BoundaryMapActivityV2.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/VehicleFinderMapActivity.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/LocationRepository.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        a/a/a/c/a/a/c/a.java                                                                                                                                                                                                    a/a/a/c/c/f.java                                                                                                                                                                                                    a/a/b/d/utils/a/m.java                                                                                                                                                                                                    a/a/c/a/extensions/e$a$a.java                                                                                                                                                                                                    a/a/c/a/extensions/e.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/NetworkUtils.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/ai.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidSystemInfoService.java                                                                                                                                                                                                    com/bumptech/glide/manager/DefaultConnectivityMonitor.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/application/FcaApplication.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/PinActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java                                                                                                                                                                                                    com/salesforce/marketingcloud/MCService.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/CoreFacade.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/ConnectivityUtilsKt$networkStatusFlow$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/ConnectivityUtilsKt.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java"
"android.permission.ACCESS_NOTIFICATION_POLICY","normal","marker permission for accessing notification policy.","Marker permission for applications that wish to access notification policy.",""
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                a/a/a/c/a/a/c/a.java                                                                                                                                                                                                    a/a/c/a/extensions/e$a$a.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/application/FcaApplication.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/PinActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/ConnectivityUtilsKt$networkStatusFlow$1.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java"
"android.permission.ANSWER_PHONE_CALLS","dangerous","permits an app to answer incoming phone calls.","Allows the app to answer an incoming phone call.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/PhoneUtils.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                a/a/a/c/a/a/a/e.java                                                                                                                                                                                                    a/a/a/c/a/a/a/f.java                                                                                                                                                                                                    a/a/a/c/a/a/a/g.java                                                                                                                                                                                                    a/a/b/btconnectivity/commands/GetVehiclePrivacyCommand.java                                                                                                                                                                                                    a/a/b/btconnectivity/utils/b.java                                                                                                                                                                                                    a/a/b/d/utils/a/m.java                                                                                                                                                                                                    a/a/b/o2x/commands/SubscribeVehicleInformationCommand.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/NetworkUtils.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/ai.java                                                                                                                                                                                                    a/g/a/a/as.java                                                                                                                                                                                                    a/g/a/a/bf.java                                                                                                                                                                                                    a/g/a/a/ct.java                                                                                                                                                                                                    a/i/DunasysKit/BluetoothScanner.java                                                                                                                                                                                                    a/i/DunasysKit/c.java                                                                                                                                                                                                    c/b/a/c.java                                                                                                                                                                                                    c/b/a/r.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidSystemInfoService.java                                                                                                                                                                                                    com/bumptech/glide/manager/DefaultConnectivityMonitor.java                                                                                                                                                                                                    com/dquid/sdk/core/BluetoothLEService.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/PinActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/linkanddrivebluetooth/repository/listener/DaiichiDiscoverer.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/linkanddrivebluetooth/service/receivers/SmartAudioConnectedBluetoothReceiver.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/interfaces/AVolumeRepository.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/BluetoothRepository.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java"
"android.permission.BLUETOOTH_ADMIN","normal","bluetooth administration","Allows applications to discover and pair bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    a/a/a/c/a/a/a/e.java                                                                                                                                                                                                    a/a/a/c/a/a/a/f.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/ai.java                                                                                                                                                                                                    a/g/a/a/as.java                                                                                                                                                                                                    a/g/a/a/bf.java                                                                                                                                                                                                    a/g/a/a/ct.java                                                                                                                                                                                                    a/i/DunasysKit/BluetoothScanner.java                                                                                                                                                                                                    c/b/a/c.java                                                                                                                                                                                                    c/b/a/r.java                                                                                                                                                                                                    com/dquid/sdk/core/BluetoothLEService.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/PinActivity.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java"
"android.permission.BLUETOOTH_ADVERTISE","dangerous","required to advertise to nearby Bluetooth devices.","Required to be able to advertise to nearby Bluetooth devices.",""
"android.permission.BLUETOOTH_CONNECT","dangerous","necessary for connecting to paired Bluetooth devices.","Required to be able to connect to paired Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            a/a/a/c/a/a/a/e.java                                                                                                                                                                                                    a/a/a/c/a/a/a/f.java                                                                                                                                                                                                    a/g/a/a/ct.java                                                                                                                                                                                                    c/b/a/r.java                                                                                                                                                                                                    com/dquid/sdk/core/BluetoothLEService.java"
