"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App can be installed on a vulnerable unpatched Android versionAndroid 5.1-5.1.1, [minSdk=22]","high","This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.","Suppression the rule vulnerable_os_version in com.kia.eu.mykia"
"2","Clear text traffic is Enabled For App[android:usesCleartextTraffic=true]","high","The app intends to use cleartext network traffic, such as cleartext HTTP, FTP stacks, DownloadManager, and MediaPlayer. The default value for apps that target API level 27 or lower is ""true"". Apps that target API level 28 or higher default to ""false"". The key reason for avoiding cleartext traffic is the lack of confidentiality, authenticity, and protections against tampering; a network attacker can eavesdrop on transmitted data and also modify it without being detected.","Suppression the rule clear_text_traffic in com.kia.eu.mykia"
"3","Application Data can be Backed up[android:allowBackup] flag is missing.","warning","The flag [android:allowBackup] should be set to false. By default it is set to true and allows anyone to backup your application data via adb. It allows users who have enabled USB debugging to copy application data off of the device.","Suppression the rule allowbackup_not_set in com.kia.eu.mykia"
"4","App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://mykia-app.kia.com]","high","App Link asset verification URL (https://mykia-app.kia.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: None). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia"
"5","App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://www.test.kia.eu]","high","App Link asset verification URL (https://www.test.kia.eu/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: None). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia"
"6","App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://eu-accountstg.kia.com]","high","App Link asset verification URL (https://eu-accountstg.kia.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia"
"7","App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://www.kia.com]","high","App Link asset verification URL (https://www.kia.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia"
"8","Activity (com.adobe.phonegap.push.PushHandlerActivity) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.kia.eu.mykia.permission.PushHandlerActivity [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule activity_exported_protected_permission_not_defined in com.kia.eu.mykia"
"9","Broadcast Receiver (com.adobe.phonegap.push.BackgroundActionButtonHandler) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.kia.eu.mykia"
"10","Broadcast Receiver (com.adobe.phonegap.push.PushDismissedHandler) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.kia.eu.mykia"
"11","Service (com.adobe.phonegap.push.FCMService) is not Protected. [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule service_explicitly_exported in com.kia.eu.mykia"
"12","Service (com.adobe.phonegap.push.PushInstanceIDListenerService) is not Protected. [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule service_explicitly_exported in com.kia.eu.mykia"
"13","Service (com.google.android.play.core.assetpacks.AssetPackExtractionService) is not Protected. [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule service_explicitly_exported in com.kia.eu.mykia"
"14","Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.kia.eu.mykia"
"15","Broadcast Receiver (com.google.android.gms.measurement.AppMeasurementInstallReferrerReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.INSTALL_PACKAGES [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.kia.eu.mykia"
