"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_ADSERVICES_AD_ID","normal","allow app to access the device's advertising ID.","This ID is a unique, user-resettable identifier provided by Google's advertising services, allowing apps to track user behavior for advertising purposes while maintaining user privacy.",""
"android.permission.ACCESS_ADSERVICES_ATTRIBUTION","normal","allow applications to access advertising service attribution","This enables the app to retrieve information related to advertising attribution, which can be used for targeted advertising purposes. App can gather data about how users interact with ads, such as clicks or impressions, to measure the effectiveness of advertising campaigns.",""
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/mobile/MobileConfig.java                                                                                                                                                                                                    com/adobe/mobile/StaticMethods.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/FourButtonWidgets/ThreeButtonWidget.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/HomeScreen/HomeScreenActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SingleButtonWidget/DoorLock.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SingleButtonWidget/MycarFinder.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/AppUtils.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/widgetUtils/WidgetUtlis.java                                                                                                                                                                                                    com/bumptech/glide/manager/DefaultConnectivityMonitor.java                                                                                                                                                                                                    com/criticalblue/approovsdk/c.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/Utility/AppUtils.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.",""
"android.permission.CALL_PHONE","dangerous","directly call phone numbers","Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/adobe/mobile/Analytics.java                                                                                                                                                                                                    com/adobe/mobile/MobileConfig.java"
"android.permission.CAMERA","dangerous","take pictures and videos","Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.",""
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.",""
"android.permission.GET_ACCOUNTS","dangerous","list accounts","Allows access to the list of accounts in the Accounts Service.",""
