"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App can be installed on a vulnerable Android versionAndroid 8.0, minSdk=26]","warning","This application can be installed on an older version of android that has multiple vulnerabilities. Support an Android version => 10, API 29 to receive reasonable security updates.","Suppression the rule vulnerable_os_version2 in com.aqsmartphone.android.nissan"
"2","Broadcast Receiver (com.aqsmartphone.android.nissan.FourButtonWidgets.FourButtonWidget) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan"
"3","Broadcast Receiver (com.aqsmartphone.android.nissan.FourButtonWidgets.ThreeButtonWidget) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan"
"4","Service (com.aqsmartphone.android.nissan.widgetUtils.AppStateDetector) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan"
"5","Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.BatteryPercentage) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan"
"6","Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.DoorLock) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan"
"7","Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.ClimateON) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan"
"8","Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.MycarFinder) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan"
"9","Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan"
"10","Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan"
"11","Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan"
"12","Broadcast Receiver (androidx.profileinstaller.ProfileInstallReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan"
