"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_ADSERVICES_AD_ID","normal","allow app to access the device's advertising ID.","This ID is a unique, user-resettable identifier provided by Google's advertising services, allowing apps to track user behavior for advertising purposes while maintaining user privacy.",""
"android.permission.ACCESS_ADSERVICES_ATTRIBUTION","normal","allow applications to access advertising service attribution","This enables the app to retrieve information related to advertising attribution, which can be used for targeted advertising purposes. App can gather data about how users interact with ads, such as clicks or impressions, to measure the effectiveness of advertising campaigns.",""
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/reactnativecommunity/geolocation/AndroidLocationManager.java                                                                                                                                                                                                    com/reactnativecommunity/geolocation/PlayServicesLocationManager.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/adobe/marketing/mobile/internal/util/NetworkUtils.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/DeviceInfoService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/NetworkService.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/verint/xm/sdk/common/utils/Util.java                                                                                                                                                                                                    com/verint/xm/sdk/digital/network/c.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/TrackingContext.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/app/invite/state/a.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/services/a.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/learnium/RNDeviceInfo/RNDeviceModule.java"
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/adobe/marketing/mobile/assurance/internal/AssuranceBlob.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/HttpConnection.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/HttpConnectionHandler.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/NetworkService.java                                                                                                                                                                                                    com/rnfs/Downloader.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    com/rnfs/Uploader.java                                                                                                                                                                                                    com/subaru/telematics/app/remote/MainApplication.java                                                                                                                                                                                                    com/verint/xm/sdk/common/network/MultipartUtility.java                                                                                                                                                                                                    com/verint/xm/sdk/common/network/a.java                                                                                                                                                                                                    com/verint/xm/sdk/common/network/b.java                                                                                                                                                                                                    com/verint/xm/sdk/common/network/d.java                                                                                                                                                                                                    com/verint/xm/sdk/common/storyEngine/tasks/HttpAsyncTask.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/tasks/HttpAsyncTask.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/tasks/a.java                                                                                                                                                                                                    com/verint/xm/sdk/surveymanagement/tasks/a.java                                                                                                                                                                                                    net/time4j/android/spi/AndroidResourceLoader.java                                                                                                                                                                                                    net/time4j/base/ResourceLoader.java                                                                                                                                                                                                    net/time4j/tz/spi/TimezoneRepositoryProviderSPI.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java"
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/NotificationWorker.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/services/NotificationReceiver.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/services/NotificationServiceImpl.java"
"android.permission.READ_CALENDAR","dangerous","read calendar events","Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                com/calendarevents/RNCalendarEvents.java"
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/adobe/marketing/mobile/internal/util/FileUtils.java                                                                                                                                                                                                    com/adobe/marketing/mobile/launch/rulesengine/download/RulesZipProcessingHelper.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/internal/caching/FileCacheResult.java                                                                                                                                                                                                    com/reactnativecommunity/asyncstorage/AsyncStorageExpoMigration.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    com/rnfs/Uploader.java                                                                                                                                                                                                    com/verint/xm/sdk/common/configuration/b.java                                                                                                                                                                                                    com/verint/xm/sdk/common/network/MultipartUtility.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java"
