"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        atd/l/ChallengeResultTimeout.java                                                                                                                                                                                                    bl/d.java                                                                                                                                                                                                    bu/u0.java                                                                                                                                                                                                    com/fourthline/core/location/FourthlineLocationServicesHelper.java                                                                                                                                                                                                    com/fourthline/orca/internal/C3355lf.java                                                                                                                                                                                                    com/fourthline/orca/internal/C3788vd.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    expo/modules/location/LocationHelpers.java                                                                                                                                                                                                    he0/c.java                                                                                                                                                                                                    ie0/a.java                                                                                                                                                                                                    io/sentry/android/core/PhoneStateBreadcrumbsIntegration.java                                                                                                                                                                                                    nw/c.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            atd/l/ChallengeResultTimeout.java                                                                                                                                                                                                    bl/d.java                                                                                                                                                                                                    bu/u0.java                                                                                                                                                                                                    com/fourthline/core/location/FourthlineLocationServicesHelper.java                                                                                                                                                                                                    com/fourthline/orca/internal/C3355lf.java                                                                                                                                                                                                    com/fourthline/orca/internal/C3788vd.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    expo/modules/location/LocationHelpers.java                                                                                                                                                                                                    he0/c.java                                                                                                                                                                                                    ie0/a.java                                                                                                                                                                                                    nw/c.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                atd/aa/getSDKEphemeralPublicKey.java                                                                                                                                                                                                    atd/w/AuthenticationRequestParameters.java                                                                                                                                                                                                    atd/w/ChallengeResultCompleted.java                                                                                                                                                                                                    atd/w/ChallengeResultError.java                                                                                                                                                                                                    atd/w/ErrorMessage.java                                                                                                                                                                                                    atd/w/InitializeResultFailure.java                                                                                                                                                                                                    atd/w/getDeviceData.java                                                                                                                                                                                                    atd/w/getErrorDescription.java                                                                                                                                                                                                    atd/w/getSDKReferenceNumber.java                                                                                                                                                                                                    atd/w/hashCode.java                                                                                                                                                                                                    atd/w/onCompletion.java                                                                                                                                                                                                    atd/w/protocolError.java                                                                                                                                                                                                    atd/w/toString.java                                                                                                                                                                                                    c30/c.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/g.java                                                                                                                                                                                                    com/alipay/android/phone/mrpc/core/t.java                                                                                                                                                                                                    com/alipay/apmobilesecuritysdk/c/a.java                                                                                                                                                                                                    com/fourthline/core/location/internal/VpnConnectivityCheckerImpl.java                                                                                                                                                                                                    com/fourthline/orca/internal/A3.java                                                                                                                                                                                                    com/fourthline/orca/internal/Dj.java                                                                                                                                                                                                    com/fourthline/orca/internal/S2.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/NetInfoModule.java                                                                                                                                                                                                    com/tradle/react/UdpSockets.java                                                                                                                                                                                                    dc/b.java                                                                                                                                                                                                    h8/f.java                                                                                                                                                                                                    io/sentry/android/core/NetworkBreadcrumbsIntegration.java                                                                                                                                                                                                    io/sentry/android/core/PhoneStateBreadcrumbsIntegration.java                                                                                                                                                                                                    io/sentry/android/core/internal/util/a.java                                                                                                                                                                                                    jv/e.java                                                                                                                                                                                                    jv/j.java                                                                                                                                                                                                    kd/b.java                                                                                                                                                                                                    l5/a.java                                                                                                                                                                                                    lc/b.java                                                                                                                                                                                                    m7/k.java                                                                                                                                                                                                    nw/a.java                                                                                                                                                                                                    nw/c.java                                                                                                                                                                                                    o60/c0.java                                                                                                                                                                                                    o7/m.java                                                                                                                                                                                                    o7/n.java                                                                                                                                                                                                    org/godotengine/godot/utils/GodotNetUtils.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java                                                                                                                                                                                                    pe/r.java                                                                                                                                                                                                    qn/b0.java                                                                                                                                                                                                    qn/t0.java                                                                                                                                                                                                    td/c.java                                                                                                                                                                                                    tl/r.java                                                                                                                                                                                                    vx/o.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                atd/aa/AuthenticationRequestParameters.java                                                                                                                                                                                                    atd/aa/BuildConfig.java                                                                                                                                                                                                    atd/aa/ChallengeResultCancelled.java                                                                                                                                                                                                    atd/aa/ChallengeResultCompleted.java                                                                                                                                                                                                    atd/aa/ChallengeStatusHandler.java                                                                                                                                                                                                    atd/aa/ChallengeStatusReceiver.java                                                                                                                                                                                                    atd/aa/getAdditionalDetails.java                                                                                                                                                                                                    atd/aa/getDeviceData.java                                                                                                                                                                                                    atd/aa/getMessageVersion.java                                                                                                                                                                                                    atd/aa/getSDKAppID.java                                                                                                                                                                                                    atd/aa/getSDKEphemeralPublicKey.java                                                                                                                                                                                                    atd/aa/getTransactionStatus.java                                                                                                                                                                                                    c30/c.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/NetInfoModule.java                                                                                                                                                                                                    h8/f.java                                                                                                                                                                                                    jv/e.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            a70/e0.java                                                                                                                                                                                                    atd/l/getMessageVersion.java                                                                                                                                                                                                    atd/o/AuthenticationRequestParameters.java                                                                                                                                                                                                    atd/o/getDeviceData.java                                                                                                                                                                                                    atd/o/getSDKAppID.java                                                                                                                                                                                                    atd/o/getSDKTransactionID.java                                                                                                                                                                                                    bu/j.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/g.java                                                                                                                                                                                                    com/alipay/apmobilesecuritysdk/c/a.java                                                                                                                                                                                                    com/fourthline/orca/internal/A3.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/rncamerakit/d.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/EnergyBleModule.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/NetInfoModule.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/Peripheral.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/b.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/x.java                                                                                                                                                                                                    com/zmxv/RNSound/RNSoundModule.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/InCallManagerModule.java                                                                                                                                                                                                    dc/b.java                                                                                                                                                                                                    g30/b.java                                                                                                                                                                                                    io/sentry/android/core/NetworkBreadcrumbsIntegration.java                                                                                                                                                                                                    io/sentry/android/core/internal/util/a.java                                                                                                                                                                                                    jv/e.java                                                                                                                                                                                                    k70/d.java                                                                                                                                                                                                    lc/b.java                                                                                                                                                                                                    m7/k.java                                                                                                                                                                                                    nn/m.java                                                                                                                                                                                                    nw/a.java                                                                                                                                                                                                    nw/c.java                                                                                                                                                                                                    o60/c0.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java                                                                                                                                                                                                    org/webrtc/audio/WebRtcAudioRecord.java                                                                                                                                                                                                    org/webrtc/audio/WebRtcAudioTrack.java                                                                                                                                                                                                    org/webrtc/audio/WebRtcAudioUtils.java                                                                                                                                                                                                    p60/d.java                                                                                                                                                                                                    p60/g.java                                                                                                                                                                                                    p60/h.java                                                                                                                                                                                                    qn/b0.java                                                                                                                                                                                                    qn/t0.java                                                                                                                                                                                                    tl/r.java                                                                                                                                                                                                    vx/o.java                                                                                                                                                                                                    w70/e.java                                                                                                                                                                                                    wb0/e.java                                                                                                                                                                                                    z70/a.java"
"android.permission.BLUETOOTH_ADMIN","normal","bluetooth administration","Allows applications to discover and pair bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/rncamerakit/d.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/NetInfoModule.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/Peripheral.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/x.java                                                                                                                                                                                                    com/zmxv/RNSound/RNSoundModule.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/InCallManagerModule.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java                                                                                                                                                                                                    org/webrtc/audio/WebRtcAudioRecord.java                                                                                                                                                                                                    p60/d.java                                                                                                                                                                                                    p60/g.java                                                                                                                                                                                                    w70/e.java                                                                                                                                                                                                    wb0/e.java"
"android.permission.BLUETOOTH_CONNECT","dangerous","necessary for connecting to paired Bluetooth devices.","Required to be able to connect to paired Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/Peripheral.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/x.java                                                                                                                                                                                                    p60/d.java"
"android.permission.BLUETOOTH_SCAN","dangerous","required for discovering and pairing Bluetooth devices.","Required to be able to discover and pair nearby Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/Peripheral.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/x.java                                                                                                                                                                                                    p60/g.java"
"android.permission.CALL_PHONE","dangerous","directly call phone numbers","Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            c60/j.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/b.java"
