"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App can be installed on a vulnerable unpatched Android versionAndroid 7.0, [minSdk=24]","high","This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.","Suppression the rule vulnerable_os_version in com.teslamotors.tesla"
"2","App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config]","info","The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.","Suppression the rule has_network_security in com.teslamotors.tesla"
"3","App Link assetlinks.json file not found[android:name=com.teslamotors.TeslaApp.MainActivity][android:host=https://tesla.com]","high","App Link asset verification URL (https://tesla.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.teslamotors.tesla"
"4","App Link assetlinks.json file not found[android:name=com.teslamotors.TeslaApp.MainActivity][android:host=https://www.tesla.com]","high","App Link asset verification URL (https://www.tesla.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.teslamotors.tesla"
"5","App Link assetlinks.json file not found[android:name=com.teslamotors.TeslaApp.MainActivity][android:host=https://shop.tesla.com]","high","App Link asset verification URL (https://shop.tesla.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.","Suppression the rule activity_well_known_assetlinks in com.teslamotors.tesla"
"6","Activity (com.tesla.TeslaV4.wxapi.WXPayEntryActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.teslamotors.tesla"
"7","Broadcast Receiver (com.teslamotors.plugins.ble.BLEBootReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.teslamotors.tesla"
"8","Service (com.teslamotors.plugins.ble.TeslaCardEmulationService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_NFC_SERVICE [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in com.teslamotors.tesla"
"9","Activity (com.plaid.internal.LinkRedirectActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.teslamotors.tesla"
"10","Activity (com.tesla.share.ShareActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.teslamotors.tesla"
