"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config]","info","The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.","Suppression the rule has_network_security in com.subaru.telematics.app.remote"
"2","Broadcast Receiver (io.invertase.firebase.messaging.ReactNativeFirebaseMessagingReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.subaru.telematics.app.remote"
"3","Activity (com.verint.xm.sdk.surveymanagement.survey.SMFullScreenActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.subaru.telematics.app.remote"
"4","Broadcast Receiver (com.verint.xm.sdk.predictive.tracker.services.NotificationBroadcastReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.subaru.telematics.app.remote.verint.xm.sdk.RECEIVE_DELETE_ACTION_BROADCASTprotectionLevel: normal [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission. However, the protection level of the  permission is set to normal. This means that a malicious application can request and obtain the permission and interact with the component. If it was set to signature, only applications signed with the same certificate could obtain the permission.","Suppression the rule receiver_exported_protected_permission_normal in com.subaru.telematics.app.remote"
"5","Activity (com.verint.xm.sdk.predictive.tracker.app.invite.InviteActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.subaru.telematics.app.remote"
"6","Activity (com.verint.xm.sdk.predictive.tracker.app.survey.SurveyActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in com.subaru.telematics.app.remote"
"7","Service (com.google.android.gms.auth.api.signin.RevocationBoundService) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in com.subaru.telematics.app.remote"
"8","Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.subaru.telematics.app.remote"
"9","Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in com.subaru.telematics.app.remote"
"10","Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.subaru.telematics.app.remote"
"11","Broadcast Receiver (androidx.profileinstaller.ProfileInstallReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.subaru.telematics.app.remote"
