TITLE,SEVERITY,DESCRIPTION,app,source_path
Application vulnerable to Janus Vulnerability,warning,"Application is signed with v1 signature scheme, making it vulnerable to Janus vulnerability on Android 5.0-8.0, if signed only with v1 signature scheme. Applications running on Android 5.0-7.0 signed with v1, and v2/v3 scheme is also vulnerable.",Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/certificate_analysis.csv
Certificate algorithm might be vulnerable to hash collision,warning,Application is signed with SHA1withRSA. SHA1 hash algorithm is known to have collision issues. The manifest file indicates SHA256withRSA is in use.,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/certificate_analysis.csv
Certificate algorithm vulnerable to hash collision,high,Application is signed with SHA1withRSA. SHA1 hash algorithm is known to have collision issues.,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/certificate_analysis.csv
Certificate algorithm might be vulnerable to hash collision,warning,Application is signed with SHA1withRSA. SHA1 hash algorithm is known to have collision issues. The manifest file indicates SHA256withRSA is in use.,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/certificate_analysis.csv
Certificate algorithm might be vulnerable to hash collision,warning,Application is signed with SHA1withRSA. SHA1 hash algorithm is known to have collision issues. The manifest file indicates SHA256withRSA is in use.,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/certificate_analysis.csv
Application vulnerable to Janus Vulnerability,warning,"Application is signed with v1 signature scheme, making it vulnerable to Janus vulnerability on Android 5.0-8.0, if signed only with v1 signature scheme. Applications running on Android 5.0-7.0 signed with v1, and v2/v3 scheme is also vulnerable.",Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/certificate_analysis.csv
Application vulnerable to Janus Vulnerability,warning,"Application is signed with v1 signature scheme, making it vulnerable to Janus vulnerability on Android 5.0-8.0, if signed only with v1 signature scheme. Applications running on Android 5.0-7.0 signed with v1, and v2/v3 scheme is also vulnerable.",Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/certificate_analysis.csv
Certificate algorithm might be vulnerable to hash collision,warning,Application is signed with SHA1withRSA. SHA1 hash algorithm is known to have collision issues. The manifest file indicates SHA256withRSA is in use.,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/certificate_analysis.csv
Application vulnerable to Janus Vulnerability,warning,"Application is signed with v1 signature scheme, making it vulnerable to Janus vulnerability on Android 5.0-8.0, if signed only with v1 signature scheme. Applications running on Android 5.0-7.0 signed with v1, and v2/v3 scheme is also vulnerable.",Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/certificate_analysis.csv
Certificate algorithm vulnerable to hash collision,high,Application is signed with MD5. MD5 hash algorithm is known to have collision issues.,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/certificate_analysis.csv
Certificate algorithm vulnerable to hash collision,high,Application is signed with SHA1withRSA. SHA1 hash algorithm is known to have collision issues.,Tesla,/home/jovyan/work/SOEN 321/car_app_analysis/Tesla/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Tesla,/home/jovyan/work/SOEN 321/car_app_analysis/Tesla/certificate_analysis.csv
Signed Application,info,Application is signed with a code signing certificate,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/certificate_analysis.csv
