TRACKER NAME,CATEGORIES,URL,app,source_path
Adjust,Analytics,https://reports.exodus-privacy.eu.org/trackers/52,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Amplitude,"Profiling, Analytics",https://reports.exodus-privacy.eu.org/trackers/125,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Appdynamics,"Profiling, Analytics",https://reports.exodus-privacy.eu.org/trackers/194,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Facebook Login,Identification,https://reports.exodus-privacy.eu.org/trackers/67,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Facebook Share,,https://reports.exodus-privacy.eu.org/trackers/70,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Qualtrics,,https://reports.exodus-privacy.eu.org/trackers/306,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/trackers.csv
Adobe Experience Cloud,,https://reports.exodus-privacy.eu.org/trackers/229,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/trackers.csv
AltBeacon,,https://reports.exodus-privacy.eu.org/trackers/219,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/trackers.csv
Microsoft Visual Studio App Center Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/243,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/trackers.csv
Microsoft Visual Studio App Center Crashes,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/238,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/trackers.csv
"OpenTelemetry (OpenCensus, OpenTracing)",Analytics,https://reports.exodus-privacy.eu.org/trackers/412,Audi,/home/jovyan/work/SOEN 321/car_app_analysis/Audi/trackers.csv
Countly,"Profiling, Analytics",https://reports.exodus-privacy.eu.org/trackers/122,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/trackers.csv
Sensors Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/248,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/trackers.csv
WeChat Location,,https://reports.exodus-privacy.eu.org/trackers/76,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/trackers.csv
Adobe Experience Cloud,,https://reports.exodus-privacy.eu.org/trackers/229,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/trackers.csv
Brightcove,,https://reports.exodus-privacy.eu.org/trackers/178,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/trackers.csv
Dynatrace,Analytics,https://reports.exodus-privacy.eu.org/trackers/137,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/trackers.csv
Facebook Login,Identification,https://reports.exodus-privacy.eu.org/trackers/67,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/trackers.csv
Facebook Share,,https://reports.exodus-privacy.eu.org/trackers/70,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/trackers.csv
Google CrashLytics,Crash reporting,https://reports.exodus-privacy.eu.org/trackers/27,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/trackers.csv
Google Firebase Analytics,Analytics,https://reports.exodus-privacy.eu.org/trackers/49,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/trackers.csv
